ProductID,ProductName,ProductDescription,ProductGroupID,Price,StockQuantity,SupplierName,SupplierContact,ManufactureDate,ExpiryDate,WarrantyPeriod
20,Mechanical Keyboard,Ahead discuss total actually.,4,410.96,70,Gomez LLC,001-284-516-5012x65526,2023-11-27,2024-09-21,12 months
21,Bluetooth Speaker X,Pick phone sit job.,12,266.74,47,"Jimenez, Fisher and Bernard",892-228-6643,2021-02-25,2022-04-12,16 months
22,Fitness Tracker X,Place but report resource game quickly unit serious.,12,91.12,84,"Wood, Larsen and Murphy",948-490-2738,2022-04-05,2022-05-15,6 months
23,Outdoor Speaker X,Including young want mother.,6,319.39,60,Long-Davis,737-379-0727,2022-04-09,2023-05-21,10 months
24,Electric Toothbrush,Include seat fill.,2,46.98,59,Morrison Inc,941-898-9379,2020-04-10,2022-03-23,24 months
25,Portable GPS,Congress collection open road music.,9,446.29,41,Jones-Acosta,805.621.4096x738,2021-09-26,2022-09-25,17 months
26,Bluetooth Car Kit,Imagine total board head soon.,7,427.44,73,"Hall, Roman and Ayala",4816650082,2021-10-30,2021-12-01,24 months
27,MacBook Air,Impact sell news.,1,444.12,67,"Swanson, Evans and Mcgee",+1-747-835-0956x06754,2022-09-09,2024-07-15,17 months
28,ZenBook Pro,Upon important piece during.,10,140.72,84,Chang and Sons,(798)690-7803,2021-08-31,2022-02-14,15 months
29,Portable GPS,Score player small authority wonder plant side.,8,419.13,6,Wheeler and Sons,001-945-818-7242x568,2021-09-15,2022-06-22,20 months
30,Exercise Bike Pro,Media wear road force wait she.,12,24.01,41,"Fields, Jenkins and Wallace",(203)604-2543x7434,2023-08-25,2024-11-06,8 months
31,Electric Kettle Pro,Risk natural back wish.,13,25.73,88,Harris and Sons,605-441-6996,2021-07-06,2022-02-01,18 months
32,NextGen Console,Clear general son campaign police spend.,12,143.04,46,Jones-Torres,733-939-8936x3891,2020-01-10,2021-10-28,8 months
33,Exercise Bike Pro,Hour tonight bill blue.,4,30.52,5,Stein-Collins,9997719680,2023-01-05,2024-09-13,14 months
34,Wireless Printer,Agency with record present live bed speak hair.,15,420.3,72,Hughes-Banks,(667)321-2580x331,2023-03-06,2025-02-04,23 months
35,Desktop Monitor 24”,Customer rest truth you often newspaper recognize.,15,244.77,0,Ferrell-Brown,3109388525,2021-03-12,2023-01-04,15 months
36,Desktop Monitor 24”,Evening month late.,12,133.37,12,Torres-Silva,382-830-0677x570,2021-01-26,2021-06-04,18 months
37,4K Curved TV,Stuff role several cultural traditional.,1,123.7,83,Wright Ltd,+1-548-890-7952x87554,2022-06-23,2022-12-12,24 months
38,Mechanical Keyboard,Discuss let car wide them.,8,476.48,91,Garcia-Harrell,(242)305-0251,2022-04-30,2023-10-27,21 months
39,Smartwatch Series 5,Necessary her man again friend player until tend.,9,70.55,47,Smith-Walker,490.488.0699x9179,2023-02-19,2024-05-16,18 months
40,Noise-Cancelling Headphones,Whatever teach yard own story.,3,241.08,61,"Hawkins, Jacobson and Gomez",463.902.1392x07912,2022-11-12,2024-05-15,23 months
41,Mechanical Keyboard,Couple have yeah truth work couple director source.,11,244.63,34,Patton-Ross,804.408.1538x3004,2023-07-13,2025-06-14,21 months
42,Hair Dryer Pro,Education medical teach article happen finally current central.,1,381.76,98,"Rodriguez, Little and Mendez",001-361-868-6908x6437,2021-01-10,2021-04-27,16 months
43,High-Resolution Monitor,Property visit he early firm.,6,411.18,51,"Lambert, Baird and Gordon",(956)772-9909x113,2022-05-13,2022-09-04,12 months
44,Robot Vacuum,Line car school person hour.,14,305.94,31,Velez-Moore,001-272-692-5333x4142,2021-04-08,2022-08-19,18 months
45,MacBook Air,Son recognize brother individual answer particular.,6,331.34,92,"Aguilar, Cummings and Wilson",852.407.9980,2021-02-01,2023-01-29,9 months
46,Action Camera Pro,Nature newspaper true.,14,138.55,45,Lara Inc,217-691-5132,2023-09-08,2024-08-07,24 months
47,Desktop Monitor 24”,Artist station enough section good require act.,8,87.71,98,Hill-Johnson,(712)798-2082,2022-03-17,2022-08-31,18 months
48,Gaming PC Pro,Great meet several area official town.,7,453.75,17,Phillips-Burns,5657471943,2020-04-01,2020-07-09,19 months
49,High-Resolution Monitor,Race today experience will cell.,13,297.2,15,Davis-Lewis,853-675-1796x1099,2021-12-12,2022-07-15,11 months
50,Air Purifier,Public play old.,15,178.46,59,Cook-Nguyen,437-801-4344,2021-02-13,2022-02-21,10 months
51,Desktop Monitor 24”,Show mention four eight.,2,410.24,48,"Morgan, Pope and Rodriguez",590-470-3987x054,2022-11-23,2023-12-25,6 months
52,Mechanical Keyboard,Environmental seem person natural guy city operation.,7,44.57,45,Williams-Cole,7384486267,2021-11-10,2023-08-17,16 months
53,Robot Vacuum,Beat possible a television perform eye.,6,210.26,26,Chung-Baker,(858)459-1318,2022-06-30,2022-10-17,18 months
54,Smart Weighing Scale,Discuss student out write yet.,3,153.69,56,Cox-Lopez,001-626-373-4200x618,2022-03-11,2023-04-30,14 months
55,Electric Kettle Pro,Every whose evening live eye box eye occur.,9,172.92,14,"Mercado, Jenkins and Norris",995.935.6727,2023-12-07,2024-03-19,18 months
56,Wireless Printer,Try smile take couple.,11,382.26,18,Howard-Wilson,(816)341-5407,2023-02-16,2025-02-05,24 months
57,Smart Thermostat,Computer exactly know television just.,6,70.87,50,"Barnes, Roberts and Johnston",(335)449-9388x7129,2022-09-01,2023-09-03,14 months
58,Desktop Monitor 24”,Occur relate entire.,15,123.33,5,Carter-Brown,001-645-634-5162x2640,2021-06-29,2022-07-01,23 months
59,Smart Coffee Maker,Describe respond shoulder only happy.,3,457.38,64,Hernandez-Berger,422-462-7751x123,2024-03-24,2024-12-08,18 months
60,Desktop Monitor 24”,Throughout effort number describe next start.,1,351.76,54,Stevens Inc,873.232.8703,2022-07-30,2023-09-25,8 months
